# Pages that could carry a price and do not have one yet.
#
# Every row here is a page with a Product node in its JSON-LD but no offers
# block, because docs/build-prices.mjs strips offers from any page absent from
# prices.csv. So each row is a page currently eligible for no rich result.
#
# THIS FILE IS A QUEUE, NOT A SOURCE OF TRUTH. Nothing reads it at build time.
# prices.csv is still the only file that sets a published price.
#
# To price a page, fill in low_inr and high_inr on its row - and low_usd and
# high_usd, which the page shows as indicative only and are optional - then:
#
#   node docs/build-price-worklist.mjs --adopt   moves filled rows to prices.csv
#   node docs/build-prices.mjs                   writes them into the pages
#
# Adopted rows leave this file on the next refresh; rows left empty stay. Do not
# edit the url column: it is regenerated from the source tree, and a URL that
# matches no page is refused rather than adopted.
#
# Update the "# updated:" date in prices.csv when you finish a pricing pass.
# priceValidUntil is derived from it, so a price adopted into a stale file is
# published already expired.
#
# generated: 2026-08-20 by docs/build-price-worklist.mjs
# pending: 451 page(s)

url,low_inr,high_inr,low_usd,high_usd,unit
/inconel/660/plates/,,,,,kg
/inconel/660/round-bar/,,,,,kg
/inconel/660/sheets/,,,,,kg

# /inconel/686/  (8)  |  inconel priced on 11 page(s) at INR 2,500-8,000 per kg
/inconel/686/coil/,,,,,kg
/inconel/686/fittings/,,,,,kg
/inconel/686/pipe/,,,,,kg
/inconel/686/plates/,,,,,kg
/inconel/686/round-bar/,,,,,kg
/inconel/686/sheets/,,,,,kg
/inconel/686/tube/,,,,,kg
/inconel/686/wire/,,,,,kg

# /inconel/690/  (8)  |  inconel priced on 11 page(s) at INR 2,500-8,000 per kg
/inconel/690/coil/,,,,,kg
/inconel/690/fittings/,,,,,kg
/inconel/690/pipe/,,,,,kg
/inconel/690/plates/,,,,,kg
/inconel/690/round-bar/,,,,,kg
/inconel/690/sheets/,,,,,kg
/inconel/690/tube/,,,,,kg
/inconel/690/wire/,,,,,kg

# /inconel/693/  (8)  |  inconel priced on 11 page(s) at INR 2,500-8,000 per kg
/inconel/693/coil/,,,,,kg
/inconel/693/fittings/,,,,,kg
/inconel/693/pipe/,,,,,kg
/inconel/693/plates/,,,,,kg
/inconel/693/round-bar/,,,,,kg
/inconel/693/sheets/,,,,,kg
/inconel/693/tube/,,,,,kg
/inconel/693/wire/,,,,,kg

# /inconel/718/  (8)  |  inconel priced on 11 page(s) at INR 2,500-8,000 per kg
/inconel/718/coil/,,,,,kg
/inconel/718/fittings/,,,,,kg
/inconel/718/pipe/,,,,,kg
/inconel/718/plates/,,,,,kg
/inconel/718/powder/,,,,,kg
/inconel/718/sheets/,,,,,kg
/inconel/718/tube/,,,,,kg
/inconel/718/wire/,,,,,kg

# /inconel/725/  (3)  |  inconel priced on 11 page(s) at INR 2,500-8,000 per kg
/inconel/725/fittings/,,,,,kg
/inconel/725/round-bar/,,,,,kg
/inconel/725/wire/,,,,,kg

# /inconel/740H/  (1)  |  inconel priced on 11 page(s) at INR 2,500-8,000 per kg
/inconel/740H/,,,,,kg

# /inconel/751/  (1)  |  inconel priced on 11 page(s) at INR 2,500-8,000 per kg
/inconel/751/,,,,,kg

# /inconel/783/  (2)  |  inconel priced on 11 page(s) at INR 2,500-8,000 per kg
/inconel/783/billets/,,,,,kg
/inconel/783/round-bar/,,,,,kg

# /inconel/round-bars/  (1)  |  inconel priced on 11 page(s) at INR 2,500-8,000 per kg
/inconel/round-bars/,,,,,kg

# /inconel/x-750/  (1)  |  inconel priced on 11 page(s) at INR 2,500-8,000 per kg
/inconel/x-750/plates/,,,,,kg

# /inconel/X-750/  (3)  |  inconel priced on 11 page(s) at INR 2,500-8,000 per kg
/inconel/X-750/coil/,,,,,kg
/inconel/X-750/round-bar/,,,,,kg
/inconel/X-750/sheets/,,,,,kg

# /invar-...  (1)
/invar/,,,,,kg

# /invar/  (4)
/invar/foil/,,,,,kg
/invar/plates/,,,,,kg
/invar/round-bar/,,,,,kg
/invar/sheets/,,,,,kg

# /kovar-...  (1)
/kovar/,,,,,kg

# /kovar/  (4)
